num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_5.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
163,./greyInner/OmarEpps(DrEricForeman)3_1_cut.png,0,61,61,162,,,1.ja,3.483,None,None,None,music,1.208,None,None,None,,['return'],[1.7499793096944813],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
167,./greyInner/RobertSeanLeonard(Wilson)10_1_cut.png,0,62,62,166,,,2.nein,3.287,None,dummy,1.954,None,None,None,None,None,,['return'],[1.099786617189693],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
93,./greyInner/JanHofer5_1_cut.png,0,63,63,92,,,2.nein,3.577,None,None,None,None,None,polit,1.912,None,,['return'],[1.1003284144935606],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
30,./greyInner/Beyonce8_3_cut.png,0,64,64,29,,,1.ja,1.996,None,None,None,music,4.012,None,None,None,Beaunce,"['lshift', 'b', 'e', 'a', 'u', 'n', 'c', 'e', 'return']","[9.147476969605123, 9.24743135469862, 9.513977023175357, 9.797248157279682, 10.013782630536753, 10.246552738466562, 10.646931322941327, 10.763439235619899, 10.980043959682007]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
178,./greyInner/Shakira3_1_cut.png,0,65,65,177,,,1.ja,2.353,None,None,None,music,4.595,None,None,None,Gueen Stefani,"['lshift', 'g', 'u', 'e', 'e', 'm', 'backspace', 'n', 'space', 'lshift', 's', 't', 'e', 'f', 'a', 'n', 'i', 'e', 'backspace', 'backspace', 'i', 'return']","[1.2827322238194938, 2.682415357402988, 3.049216944109048, 3.165788050434003, 3.36575071164998, 3.4990136017104305, 4.43206330142857, 4.948260121729618, 5.114964319648152, 5.264936957119971, 5.731538954552434, 5.947977514609647, 6.097998589851159, 7.347471067253991, 7.514088333811287, 7.680666465216746, 7.913920309283185, 8.813517794625113, 9.663229188920468, 10.412829657515886, 11.66229379464039, 11.912199004170816]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
13,./greyInner/BarackObama2_1_cut.png,0,66,66,12,,,1.ja,1.159,None,None,None,None,None,polit,1.504,None,Barack Obama,"['lshift', 'b', 'a', 'r', 'a', 'c', 'k', 'space', 'lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[1.1000737152285183, 1.2665899361072661, 1.4999242959361254, 1.6165483309500814, 1.7999978828524945, 2.0830419047656505, 2.2496797012386196, 2.416142031088839, 2.632766964286475, 2.899400526463978, 3.598971836163855, 3.8157837840612956, 3.9323119058753946, 4.065506469810316, 4.21560004131652]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
119,./greyInner/JudithRakers7_1_cut.png,0,67,67,118,,,2.nein,3.837,None,dummy,1.128,None,None,None,None,None,,['return'],[1.6000621671505542],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
218,./greyInner/notfamousface3_3_cut.png,0,68,68,217,,,2.nein,4.466,None,act,3.642,None,None,None,None,None,,['return'],[0.9168740508921474],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
209,./greyInner/WillSmith5_1_cut.png,0,69,69,208,,,1.ja,2.395,None,act,3.612,None,None,None,None,None,Will Smith,"['lshift', 'w', 'i', 'l', 'l', 'space', 'lshift', 's', 'm', 'i', 't', 'h', 'return']","[12.045822130094166, 12.295730868203464, 12.495394241743725, 12.728842157668169, 12.86193022266616, 13.045309202983844, 13.678310336620143, 14.044671171699974, 14.311539865567283, 14.478092334578378, 14.727968353135111, 14.91092711174224, 15.227781659214997]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
194,./greyInner/TomCruise6_1_cut.png,0,70,70,193,,,1.ja,1.811,None,dummy,0.895,None,None,None,None,None,,['return'],[4.182507100463681],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
175,./greyInner/SahraWagenknecht9_1_cut.png,0,71,71,174,,,2.nein,3.907,None,None,None,host,3.557,None,None,None,,['return'],[0.9166982634897067],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
103,./greyInner/JimParsons(SheldonCooper)6_1_cut.png,0,72,72,102,,,1.ja,2.677,None,act,0.728,None,None,None,None,None,,['return'],[0.4835516882326374],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
183,./greyInner/SigmarGabriel3_3_cut.png,0,73,73,182,,,1.ja,1.864,None,None,None,None,None,polit,1.615,None,Siegmar Gabriel,"['lshift', 's', 'i', 'e', 'g', 'm', 'a', 'r', 'space', 'lshift', 'g', 'a', 'b', 'r', 'i', 'e', 'l', 'return']","[0.9833890528075244, 1.3330609911718057, 1.533246594440243, 1.6331339365278836, 1.783146992271213, 2.1329494880674247, 2.2995106181365372, 2.516145495512319, 2.649474466238189, 2.7328108469810104, 2.9162741924205875, 3.0492730805972315, 3.3325021925311376, 3.4825354574099947, 3.6156841498145695, 3.7488058967051074, 3.899012061967369, 4.182155525659255]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
5,./greyInner/AlysonHannigan(Lily)8_3_cut.png,0,74,74,4,,,1.ja,1.602,None,act,0.847,None,None,None,None,None,,['return'],[1.2832781912629798],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
51,./greyInner/DannFlorek(DonaldDonCragen)1_1_cut.png,0,75,75,50,,,2.nein,6.009,None,None,None,None,None,polit,1.23,None,,['return'],[0.4503083015924858],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
137,./greyInner/LisaEdelstein(DrLisaCuddy)10_1_cut.png,0,76,76,136,,,2.nein,3.295,None,dummy,2.878,None,None,None,None,None,,['return'],[0.6168995849752719],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
