num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,key_resp_5.rt,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
176,./greyInner/Shakira1_1_cut.png,0,83,83,175,,,1.ja,5.091,None,,None,None,music,0.994,None,None,None,,['return'],[2.549487199556552],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
165,./greyInner/OmarEpps(DrEricForeman)9_1_cut.png,0,84,84,164,,,2.nein,2.412,None,,None,None,music,0.629,None,None,None,,['return'],[0.9335566396528066],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
43,./greyInner/CobieSmulders(Robin)3_4_cut.png,0,85,85,42,,,1.ja,5.413,None,,act,0.775,None,None,None,None,None,,['return'],[1.1167299460573759],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
98,./greyInner/JasonSegel(Marshall)6_1_cut.png,0,86,86,97,,,2.nein,6.268,None,,None,None,None,None,polit,2.455,None,,['return'],[1.150089241263231],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
131,./greyInner/LeonardoDiCaprio1_1_cut.png,0,87,87,130,,,1.ja,1.408,None,,act,0.786,None,None,None,None,None,leonardo dicaprio,"['l', 'e', 'o', 'n', 'a', 'r', 'd', 'space', 'backspace', 'o', 'space', 'd', 'i', 'c', 'a', 'p', 'r', 'o', 'backspace', 'i', 'o', 'return']","[0.8001274783537156, 1.0501646889451877, 1.1500642203484404, 1.3332176383337355, 1.433101130688783, 1.6498108033895278, 1.8497891827528292, 1.96624325718426, 2.2828665756503597, 2.49944825674811, 2.5994690433542473, 2.6991433865232466, 2.9325189132455307, 3.5657838346926383, 3.782274093216529, 3.8655299044842195, 4.0656468612226035, 4.664971553144369, 4.998510614000452, 5.231725750242504, 5.298305121717249, 5.564860627088365]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
212,./greyInner/notfamousface11_1_cut.png,0,88,88,211,,,1.ja,8.315,None,,act,1.502,None,None,None,None,None,,['return'],[1.18332118642752],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
197,./greyInner/UrsulavonderLeyen4_1_cut.png,0,89,89,196,,,1.ja,7.589,None,,None,None,None,None,polit,1.595,None,hillary clinton,"['h', 'i', 'l', 'l', 'a', 'r', 'y', 'space', 'c', 'l', 'i', 'n', 't', 'o', 'n', 'return']","[1.016799619681933, 1.1002087642489187, 1.3332763412493023, 1.467059965509634, 1.5665521050930238, 1.7830417220548043, 2.0163181274604085, 2.0998061841435174, 2.333017471014273, 2.3996375816707314, 2.598764929145773, 2.765363483321835, 2.9154761415952635, 2.965308501465188, 3.1152107274285754, 3.432384185241972]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
133,./greyInner/LeonardoDiCaprio3_1_cut.png,0,90,90,132,,,1.ja,1.748,None,,act,1.563,None,None,None,None,None,leonardo di caprio,"['l', 'e', 'o', 'n', 'a', 'r', 'd', 'o', 'space', 'd', 'i', 'space', 'c', 'a', 'p', 'r', 'i', 'o', 'return']","[0.6835964164915822, 0.8669580213202153, 0.9664216113981183, 1.1667855694759055, 1.2500635146300283, 1.4166492375677535, 1.6499843458889245, 1.6742879945800269, 1.766378113499968, 1.9997436960125015, 2.0248829791055414, 2.1995016988557836, 2.516203608657406, 2.7160337872169293, 2.8327723943602905, 2.99926380769557, 3.1993162874607606, 3.282570174042803, 3.49907165990021]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
110,./greyInner/JoachimLoew8_1_cut.png,0,91,91,109,,,1.ja,1.273,None,,None,None,None,None,sport,1.539,None,jogi löw,"['j', 'o', 'g', 'i', 'space', 'l', u'\xf6', 'w', 'return']","[1.0667647828697682, 1.2332901989868787, 1.566563653207595, 1.6331346843771826, 1.8496313585201278, 2.266143301837019, 2.8160279490034554, 3.0826867458440574, 3.282487091774101]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
10,./greyInner/AngelaMerkel6_1_cut.png,0,92,92,9,,,1.ja,1.476,None,,None,None,None,None,polit,0.703,None,angela merkel,"['a', 'n', 'g', 'w', 'e', 'l', 'a', 'backspace', 'backspace', 'backspace', 'backspace', 'e', 'l', 'a', 'space', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[0.4005870933140159, 0.6334554653378746, 0.7504715480120012, 0.9671353490355159, 1.017130665633431, 1.2169031036200977, 1.8167278930593511, 1.9833434486263286, 2.116552874967283, 2.26658341331472, 2.3832755072189684, 3.049511578909687, 3.1829131530460018, 3.249469749072432, 3.315890654752593, 3.4327373650796744, 3.615936333961372, 3.682605524104929, 3.832448405590412, 3.8991878467643346, 4.298762234585865]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
4,./greyInner/AlysonHannigan(Lily)5_4_cut.png,0,93,93,3,,,1.ja,1.983,None,,act,0.666,None,None,None,None,None,willow,"['w', 'i', 'l', 'l', 'o', 'w', 'return']","[0.5501964462603155, 0.7332953314823953, 0.9332916745793227, 1.0499667670926556, 1.1998792580466215, 1.2832970636995924, 1.433042427772989]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
79,./greyInner/GeorgeClooney3_1_cut.png,0,94,94,78,,,1.ja,2.179,None,,act,2.179,None,None,None,None,None,clooney,"['c', 'l', 'o', 'o', 'n', 'e', 'y', 'return']","[0.7336186786903909, 0.900124527169055, 1.1002199915828896, 1.1833446034377175, 1.5999117210797067, 1.6831563050141085, 1.8996946806819324, 2.0665963728656607]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
113,./greyInner/JoshRadnor(Ted)6_2_cut.png,0,95,95,112,,,2.nein,4.628,None,,dummy,0.88,None,None,None,None,None,,['return'],[1.2000563291367143],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
117,./greyInner/JudithRakers2_1_cut.png,0,96,96,116,,,2.nein,4.031,None,,act,1.183,None,None,None,None,None,,['return'],[1.116664185960417],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
92,./greyInner/JanHofer3_1_cut.png,0,97,97,91,,,1.ja,2.488,None,,None,None,None,None,polit,1.13,None,,['return'],[1.3335079451028378],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
