num,pic,learn1,learn2,learn3,recall2,recall3,recall1,bart_loop.thisRepN,bart_loop.thisTrialN,bart_loop.thisN,bart_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,rating_1.response,rating_1.rt,key_resp_3.keys,key_resp_3.rt,rating_4.response,rating_4.rt,rating_5.response,rating_5.rt,rating_6.response,rating_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
13,./stim/NoiseFHSA004_T1.jpg,,,,,,,,,,,,,,,,,,,0,6,6,12,,,,,,,,,,,,,,,,,,,,,1,4.035,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
15,./stim/NoiseFHSA022_T1.jpg,,,,,,,,,,,,,,,,,,,0,7,7,14,,,,,,,,,,,,,,,,,,,,,3,3.452,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
8,./stim/Noise60RA011_T3.jpg,,,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,2,4.034,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
21,./stim/NoiseFLSA022_T2.jpg,,,,,,,,,,,,,,,,,,,0,9,9,20,,,,,,,,,,,,,,,,,,,,,2,2.002,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
19,./stim/NoiseFLSA004_T2.jpg,,,,,,,,,,,,,,,,,,,0,10,10,18,,,,,,,,,,,,,,,,,,,,,2,1.952,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
10,./stim/Noise60RA040_T3.jpg,,,,,,,,,,,,,,,,,,,0,11,11,9,,,,,,,,,,,,,,,,,,,,,2,3.868,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
4,./stim/Noise30LA040_T2.jpg,,,,,,,,,,,,,,,,,,,0,12,12,3,,,,,,,,,,,,,,,,,,,,,3,3.619,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
3,./stim/Noise30LA022_T1.jpg,,,,,,,,,,,,,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,,,3,6.017,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
6,./stim/Noise30LA076_T1.jpg,,,,,,,,,,,,,,,,,,,0,14,14,5,,,,,,,,,,,,,,,,,,,,,2,3.651,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
16,./stim/NoiseFHSA040_T1.jpg,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,1,5.517,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
18,./stim/NoiseFHSA076_T3.jpg,,,,,,,,,,,,,,,,,,,0,16,16,17,,,,,,,,,,,,,,,,,,,,,3,3.802,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
2,./stim/Noise30LA011_T1.jpg,,,,,,,,,,,,,,,,,,,0,17,17,1,,,,,,,,,,,,,,,,,,,,,2,2.635,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
14,./stim/NoiseFHSA011_T2.jpg,,,,,,,,,,,,,,,,,,,0,18,18,13,,,,,,,,,,,,,,,,,,,,,1,6.917,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
11,./stim/Noise60RA049_T3.jpg,,,,,,,,,,,,,,,,,,,0,19,19,10,,,,,,,,,,,,,,,,,,,,,1,5.234,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
9,./stim/Noise60RA022_T3.jpg,,,,,,,,,,,,,,,,,,,0,20,20,8,,,,,,,,,,,,,,,,,,,,,2,3.718,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
24,./stim/NoiseFLSA076_T3.jpg,,,,,,,,,,,,,,,,,,,0,21,21,23,,,,,,,,,,,,,,,,,,,,,3,5.4,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
1,./stim/Noise30LA004_T2.jpg,,,,,,,,,,,,,,,,,,,0,22,22,0,,,,,,,,,,,,,,,,,,,,,1,2.035,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
17,./stim/NoiseFHSA049_T1.jpg,,,,,,,,,,,,,,,,,,,0,23,23,16,,,,,,,,,,,,,,,,,,,,,1,3.985,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,43.6996027449,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
